Name,URL,Image,GDPR compliant,Drag and drop editor,Dedicated send IP available,Templates,Analytics,A/B testing,Send time optimization,Free option
Aweber,https://www.aweber.com/email-newsletters.htm,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/aweber-fav.jpg,1,1,0,1,1,1,0,1
Benchmark,https://www.benchmarkemail.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/benchmark-fav.jpg,1,1,1,1,1,1,0,1
Campaign Monitor,https://www.campaignmonitor.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/cmonitor-fav.jpg,1,1,1,1,1,1,1,1
ConstantContact,https://www.constantcontact.com,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/constant-fav.jpg,1,1,0,1,1,1,0,0
ConvertKit,https://convertkit.com/features/email-marketing,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/convertkit-fav.jpg,1,1,1,1,1,1,0,1
GetResponse,https://www.getresponse.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/getresponse-fav.jpg,1,1,1,1,0,1,1,0
Hubspot,https://www.hubspot.com/products/marketing/email,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/hubspot-fav.jpg,1,1,1,1,1,1,1,1
Mailchimp,https://mailchimp.com,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/mailchimp-fav.jpg,1,1,1,1,1,1,1,1
MailerLite,https://www.mailerlite.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/mailerlite-fav.jpg,1,1,1,1,1,1,1,1
Mailjet,https://www.mailjet.com/email-marketing/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/mailjet-fav.jpg,1,1,1,1,1,1,0,1
Mailmodo,https://www.mailmodo.com/features/newsletter-software/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/Mailmodo.jpg,1,1,0,1,1,1,0,1
Moosend,https://moosend.com/email-marketing/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/moosend-fav.jpg,1,1,1,1,1,1,0,1
Pabbly,https://www.pabbly.com/email-marketing/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/pabbly-fav.jpg,0,1,0,1,1,0,0,1
Roby,https://www.robly.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/robbly-fav.jpg,1,1,1,1,1,1,1,0
SendGrid,https://sendgrid.com/solutions/email-marketing/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/sendgrid-fav.jpg,1,1,1,1,1,1,0,1
Sendinblue,https://www.sendinblue.com/features/email-marketing/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/sendinblue-fav.jpg,1,1,1,1,1,1,1,1
SendPulse,https://sendpulse.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/sendpulse-fav.jpg,1,1,1,1,1,1,0,1
Zoho Campaigns,https://www.zoho.com/campaigns/email-template-builder.html,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/newsletter/zoho-fav.jpg,1,1,0,1,1,1,1,1
